simulationRun,blind_run_id,h3_run_score,h3_applicable_responses,h3_evidence_items,h3_verifiable_evidence_items,h3_passing_evidence_items,h3_coverage
14,BLIND_410D713965BF95C6,0.150102627258,58,438,438,57,1
23,BLIND_A07826ADAE04E54D,0.166877227081,49,373,373,62,1
24,BLIND_DF5F2D10794C2DAA,0.104615705931,38,274,274,23,1
26,BLIND_3844EEFE0B472B8F,0.0710144927536,46,360,360,20,1
27,BLIND_309D6A4783C13F6F,0.13919047619,50,404,404,47,1
55,BLIND_2BFEEBACA667E058,0.110062893082,53,418,418,40,1
58,BLIND_D5E4EF532B1077E5,0.142265157429,61,461,461,64,1
60,BLIND_4D7DC240C3912605,0.147996515679,41,338,338,50,1
63,BLIND_AAABEB7AAA61E79F,0.130913800705,72,552,552,66,1
68,BLIND_06F4FDAED97B3D2F,0.152174272487,48,366,366,52,1
82,BLIND_76A515A94BEC72A3,0.0807463369963,52,427,427,29,1
90,BLIND_165468DFE36A42DC,0.186987121893,53,427,427,74,1
92,BLIND_581CEAFA22372F58,0.115030774214,49,415,415,46,1
112,BLIND_EF6684C333F323DD,0.176844070962,51,397,397,62,1
121,BLIND_585B806170EE5593,0.15708295897,53,434,434,56,1
122,BLIND_11F7F8E59E47DD2A,0.219871794872,52,391,391,88,1
123,BLIND_CDFE0010DC7838BA,0.121205357143,48,365,365,39,1
125,BLIND_2421F7BBFED4BBEA,0.100269541779,53,431,431,32,1
130,BLIND_7AFDB1942849FA0B,0.145245443857,54,429,429,48,1
136,BLIND_F607B48B15C4BB7A,0.266939484127,48,371,371,98,1
151,BLIND_7AE73B58BBBCF0EB,0.119435626102,45,363,363,40,1
153,BLIND_BC9E9526420CA2A1,0.115937615356,43,364,364,40,1
183,BLIND_4F70A8006B66A0B8,0.109259259259,48,405,405,33,1
185,BLIND_E0E8B4041A45C294,0.195267489712,54,409,409,80,1
194,BLIND_393810D89DF80FFB,0.0997777777778,50,402,402,38,1
205,BLIND_97D777C894E8E814,0.174287333981,49,382,382,65,1
225,BLIND_D9CF2050F5E25D7C,0.220555555556,55,453,453,93,1
227,BLIND_4110B60FC433E064,0.120833333333,48,398,398,39,1
240,BLIND_D6D03DD820296FDE,0.228337585034,56,489,489,106,1
269,BLIND_F03A841C8E966D3A,0.103414351852,48,384,384,39,1
290,BLIND_A6ACE83D64AE52C3,0.120735930736,55,439,439,59,1
298,BLIND_91DDEE0E953878ED,0.177842565598,49,377,376,61,0.997347480106
312,BLIND_4F21C7EF4CF18875,0.103104575163,51,430,430,37,1
313,BLIND_96C78FF7E759B647,0.145567169957,41,334,334,40,1
319,BLIND_92C72A9630A8BB9D,0.178986291486,44,358,358,58,1
338,BLIND_61B91CD7E3E42628,0.149470899471,42,360,360,38,1
343,BLIND_11B94F8ED31AEAB4,0.156884057971,69,510,510,75,1
357,BLIND_38BFF4400CCE1ABE,0.0774822695035,47,404,404,30,1
368,BLIND_430BE6A39E82892B,0.178232473545,48,371,371,68,1
370,BLIND_8840ABB391CB01BE,0.124793956044,52,429,429,41,1
377,BLIND_7B5E407E2676B1B6,0.132492997199,51,441,441,58,1
388,BLIND_BF793AAF57CAEF46,0.13895154553,57,444,444,59,1
390,BLIND_D3943249BFF20632,0.141852931649,49,394,394,53,1
399,BLIND_2A14BFF0F4F513A2,0.180026455026,45,387,387,70,1
401,BLIND_B14216C498EB98F2,0.140843253968,40,315,315,42,1
423,BLIND_C4BDF8E5E88735FB,0.125367430923,54,418,418,51,1
425,BLIND_1E92BE416B37A595,0.127380952381,48,382,382,35,1
444,BLIND_B8A7A4496EEF037A,0.0378004535147,35,272,272,8,1
456,BLIND_268D3A513A2B0D4B,0.100633232016,47,404,404,32,1
467,BLIND_1FAB47DBF4FA2B35,0.0710227272727,44,371,371,25,1
