cohort,simulationRun,blind_run_id,final_llm_scientific_attempt,configuration_phase,max_output_tokens,persisted_llm_responses,maximum_persisted_output_tokens,all_final_responses_serialized_and_persisted,historical_failed_attempt_excluded_from_performance,historical_failed_attempt,final_attempt_for_run58,analysis_classification
target,14,BLIND_410D713965BF95C6,0001,BASE_MAX_OUTPUT_TOKENS_768,768,58,729,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,23,BLIND_A07826ADAE04E54D,0001,BASE_MAX_OUTPUT_TOKENS_768,768,49,642,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,24,BLIND_DF5F2D10794C2DAA,0001,BASE_MAX_OUTPUT_TOKENS_768,768,38,597,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,26,BLIND_3844EEFE0B472B8F,0001,BASE_MAX_OUTPUT_TOKENS_768,768,46,670,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,27,BLIND_309D6A4783C13F6F,0001,BASE_MAX_OUTPUT_TOKENS_768,768,50,672,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,55,BLIND_2BFEEBACA667E058,0001,BASE_MAX_OUTPUT_TOKENS_768,768,53,682,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,58,BLIND_D5E4EF532B1077E5,0002,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,61,887,True,True,0001,0002,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,60,BLIND_4D7DC240C3912605,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,41,595,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,63,BLIND_AAABEB7AAA61E79F,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,72,746,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,68,BLIND_06F4FDAED97B3D2F,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,672,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,82,BLIND_76A515A94BEC72A3,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,52,682,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,90,BLIND_165468DFE36A42DC,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,53,656,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,92,BLIND_581CEAFA22372F58,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,49,669,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,112,BLIND_EF6684C333F323DD,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,51,586,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,121,BLIND_585B806170EE5593,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,53,696,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,122,BLIND_11F7F8E59E47DD2A,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,52,706,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,123,BLIND_CDFE0010DC7838BA,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,724,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,125,BLIND_2421F7BBFED4BBEA,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,53,621,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,130,BLIND_7AFDB1942849FA0B,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,54,919,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,136,BLIND_F607B48B15C4BB7A,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,679,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,151,BLIND_7AE73B58BBBCF0EB,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,45,650,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,153,BLIND_BC9E9526420CA2A1,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,43,740,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,183,BLIND_4F70A8006B66A0B8,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,670,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,185,BLIND_E0E8B4041A45C294,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,54,706,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,194,BLIND_393810D89DF80FFB,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,50,918,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,205,BLIND_97D777C894E8E814,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,49,704,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,225,BLIND_D9CF2050F5E25D7C,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,55,686,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,227,BLIND_4110B60FC433E064,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,673,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,240,BLIND_D6D03DD820296FDE,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,56,681,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,269,BLIND_F03A841C8E966D3A,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,674,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,290,BLIND_A6ACE83D64AE52C3,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,55,670,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,298,BLIND_91DDEE0E953878ED,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,49,758,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,312,BLIND_4F21C7EF4CF18875,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,51,715,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,313,BLIND_96C78FF7E759B647,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,41,712,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,319,BLIND_92C72A9630A8BB9D,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,44,783,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,338,BLIND_61B91CD7E3E42628,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,42,679,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,343,BLIND_11B94F8ED31AEAB4,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,69,679,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,357,BLIND_38BFF4400CCE1ABE,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,47,701,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,368,BLIND_430BE6A39E82892B,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,665,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,370,BLIND_8840ABB391CB01BE,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,52,635,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,377,BLIND_7B5E407E2676B1B6,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,51,713,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,388,BLIND_BF793AAF57CAEF46,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,57,710,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,390,BLIND_D3943249BFF20632,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,49,670,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,399,BLIND_2A14BFF0F4F513A2,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,45,652,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,401,BLIND_B14216C498EB98F2,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,40,705,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,423,BLIND_C4BDF8E5E88735FB,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,54,916,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,425,BLIND_1E92BE416B37A595,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,48,726,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,444,BLIND_B8A7A4496EEF037A,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,35,700,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,456,BLIND_268D3A513A2B0D4B,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,47,676,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
target,467,BLIND_1FAB47DBF4FA2B35,0001,EFFECTIVE_MAX_OUTPUT_TOKENS_1024,1024,44,779,True,False,,,SECONDARY_OPERATIONAL_DESCRIPTIVE_ONLY
