cohort,file,run_start,run_end,rows,x_columns,y_columns
normal_reference,normal_reference/normal_reference_runs_001_050.csv,1,50,25000,52,1
normal_reference,normal_reference/normal_reference_runs_051_100.csv,51,100,25000,52,1
normal_reference,normal_reference/normal_reference_runs_101_150.csv,101,150,25000,52,1
normal_reference,normal_reference/normal_reference_runs_151_200.csv,151,200,25000,52,1
normal_reference,normal_reference/normal_reference_runs_201_250.csv,201,250,25000,52,1
normal_reference,normal_reference/normal_reference_runs_251_300.csv,251,300,25000,52,1
normal_reference,normal_reference/normal_reference_runs_301_350.csv,301,350,25000,52,1
normal_reference,normal_reference/normal_reference_runs_351_400.csv,351,400,25000,52,1
normal_reference,normal_reference/normal_reference_runs_401_450.csv,401,450,25000,52,1
normal_reference,normal_reference/normal_reference_runs_451_500.csv,451,500,25000,52,1
idv13_test,idv13_test/idv13_test_runs_001_050.csv,1,50,48000,52,1
idv13_test,idv13_test/idv13_test_runs_051_100.csv,51,100,48000,52,1
idv13_test,idv13_test/idv13_test_runs_101_150.csv,101,150,48000,52,1
idv13_test,idv13_test/idv13_test_runs_151_200.csv,151,200,48000,52,1
idv13_test,idv13_test/idv13_test_runs_201_250.csv,201,250,48000,52,1
idv13_test,idv13_test/idv13_test_runs_251_300.csv,251,300,48000,52,1
idv13_test,idv13_test/idv13_test_runs_301_350.csv,301,350,48000,52,1
idv13_test,idv13_test/idv13_test_runs_351_400.csv,351,400,48000,52,1
idv13_test,idv13_test/idv13_test_runs_401_450.csv,401,450,48000,52,1
idv13_test,idv13_test/idv13_test_runs_451_500.csv,451,500,48000,52,1
